ID,Case Number,Date,Time,AM/PM,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats,Wards 2023-
13410786,JH202875,11/29/2023,12:00:00,AM,005XX W LAKE ST,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,CTA TRAIN,FALSE,FALSE,1214,12,34,28,14,2023,3/29/2024 15:40,41.88570024,-87.64172685,"(41.885700244, -87.641726854)",22,"4,452",29,784,36,45,22,91,34
13296515,JG527243,11/28/2023,11:00:00,PM,001XX W LAKE ST,460,BATTERY,SIMPLE,CTA STATION,FALSE,TRUE,122,1,42,32,08B,2023,12/6/2023 15:40,41.88574029,-87.63159057,"(41.885740288, -87.631590568)",22,"14,309",38,92,36,42,22,79,42
13291598,JG521298,11/28/2023,9:52:00,PM,0000X W 95TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,CTA STATION,TRUE,FALSE,634,6,9,49,15,2023,12/6/2023 15:40,41.7216272,-87.62448518,"(41.721627204, -87.624485177)",18,"21,861",45,187,13,59,20,242,11
13291647,JG521273,11/28/2023,9:20:00,PM,022XX S STATE ST,031A,ROBBERY,ARMED - HANDGUN,CTA TRAIN,FALSE,FALSE,131,1,3,33,3,2023,12/6/2023 15:40,41.85241942,-87.62708048,"(41.852419423, -87.627080475)",12,"21,194",34,193,9,40,22,94,8
13292519,JG521443,11/28/2023,7:45:00,PM,008XX N STATE ST,810,THEFT,OVER $500,CTA TRAIN,FALSE,FALSE,1832,18,42,8,6,2023,12/6/2023 15:40,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,"21,182",37,104,36,6,14,71,42
13292466,JG522421,11/28/2023,7:40:00,PM,001XX W CERMAK RD,430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,CTA TRAIN,FALSE,FALSE,914,9,11,34,04B,2023,12/6/2023 15:40,41.8528683,-87.63091491,"(41.852868298, -87.63091491)",8,"21,194",35,3,26,40,23,157,7
13291490,JG521165,11/28/2023,7:35:00,PM,059XX S HALSTED ST,810,THEFT,OVER $500,CTA BUS,FALSE,FALSE,712,7,16,68,6,2023,12/6/2023 15:40,41.78656937,-87.6449567,"(41.786569368, -87.644956704)",19,"21,559",66,22,2,11,17,135,16
13291172,JG520848,11/28/2023,2:10:00,PM,002XX N STATE ST,530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,CTA BUS,FALSE,FALSE,111,1,42,32,04A,2023,12/6/2023 15:40,41.88642877,-87.62795465,"(41.886428771, -87.627954653)",22,"14,309",38,580,36,42,22,88,42
13290860,JG520259,11/28/2023,8:38:00,AM,002XX N STATE ST,460,BATTERY,SIMPLE,CTA TRAIN,FALSE,FALSE,111,1,42,32,08B,2023,12/6/2023 15:40,41.88588808,-87.62794224,"(41.885888079, -87.627942238)",22,"14,309",38,580,36,42,22,88,42
13290694,JG520232,11/28/2023,8:10:00,AM,006XX S CENTRAL AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,CTA PARKING LOT / GARAGE / OTHER PROPERTY,FALSE,FALSE,1513,15,29,25,14,2023,12/6/2023 15:40,41.87226348,-87.76458176,"(41.872263476, -87.764581762)",52,"22,216",26,61,7,32,25,99,29
13291142,JG521006,11/28/2023,7:00:00,AM,008XX N STATE ST,870,THEFT,POCKET-PICKING,CTA STATION,FALSE,FALSE,1832,18,42,8,6,2023,12/6/2023 15:40,41.89688859,-87.62820319,"(41.896888586, -87.628203192)",22,"21,182",37,104,36,6,14,71,42
13290576,JG520082,11/28/2023,3:00:00,AM,053XX N WESTERN AVE,545,ASSAULT,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",CTA BUS STOP,FALSE,FALSE,2011,20,40,4,08A,2023,12/6/2023 15:40,41.97816047,-87.68924009,"(41.978160468, -87.689240087)",46,"21,849",6,29,24,20,2,57,40
13290870,JG520417,11/27/2023,8:35:00,PM,050XX W SUNNYSIDE AVE,820,THEFT,$500 AND UNDER,CTA PARKING LOT / GARAGE / OTHER PROPERTY,FALSE,FALSE,1623,16,45,15,6,2023,12/5/2023 15:41,41.96246825,-87.75397049,"(41.962468246, -87.753970485)",20,"21,869",15,259,50,48,12,58,45
13293170,JG519771,11/27/2023,6:40:00,PM,014XX S RACINE AVE,810,THEFT,OVER $500,CTA TRAIN,FALSE,FALSE,1232,12,28,28,6,2023,12/5/2023 15:41,41.86305806,-87.65656726,"(41.863058061, -87.656567264)",8,"14,920",29,760,26,43,15,95,28
13291376,JG520143,11/27/2023,4:10:00,PM,0000X W WASHINGTON ST,870,THEFT,POCKET-PICKING,CTA TRAIN,FALSE,FALSE,112,1,34,32,6,2023,12/5/2023 15:41,41.88320927,-87.63010896,"(41.883209268, -87.630108963)",22,"14,310",38,92,36,41,22,93,34
13290463,JG519433,11/27/2023,2:10:00,PM,030XX N PULASKI RD,460,BATTERY,SIMPLE,CTA BUS,FALSE,FALSE,2523,25,31,21,08B,2023,12/5/2023 15:41,41.93566113,-87.72708592,"(41.935661134, -87.727085915)",7,"22,618",22,464,17,21,6,175,31
13289933,JG519429,11/27/2023,1:55:00,PM,087XX S JEFFERY BLVD,870,THEFT,POCKET-PICKING,CTA BUS,FALSE,FALSE,412,4,8,48,6,2023,12/5/2023 15:41,41.73659902,-87.57570797,"(41.736599019, -87.575707974)",9,"21,202",44,473,35,25,19,240,10
13291054,JG519817,11/27/2023,12:30:00,PM,001XX N MICHIGAN AVE,1570,SEX OFFENSE,PUBLIC INDECENCY,CTA TRAIN,FALSE,FALSE,114,1,34,32,17,2023,12/5/2023 15:41,41.88479095,-87.62446924,"(41.884790951, -87.624469241)",22,"14,309",38,580,36,42,22,87,34
13289863,JG519262,11/27/2023,12:10:00,PM,115XX S COTTAGE GROVE AVE,560,ASSAULT,SIMPLE,CTA BUS,FALSE,FALSE,532,5,9,54,08A,2023,12/5/2023 15:41,41.68508339,-87.61120172,"(41.68508339, -87.611201716)",30,"21,861",51,9,43,19,10,219,11
13289848,JG519030,11/27/2023,9:33:00,AM,002XX W 63RD ST,031A,ROBBERY,ARMED - HANDGUN,CTA STATION,FALSE,FALSE,711,7,20,68,3,2023,12/5/2023 15:41,41.77997505,-87.63093738,"(41.779975054, -87.630937377)",53,"21,559",66,435,4,11,17,201,20
13289847,JG519214,11/26/2023,9:00:00,PM,0000X W 69TH ST,870,THEFT,POCKET-PICKING,CTA STATION,FALSE,FALSE,731,7,6,69,6,2023,12/4/2023 15:41,41.76918549,-87.62573242,"(41.769185486, -87.625732415)",31,"22,260",67,513,32,11,17,201,4
