route,routename,Month_Beginning,Avg_Weekday_Rides,Avg_Saturday_Rides,Avg_Sunday-Holiday_Rides,MonthTotal
52,Kedzie/California,02/01/2001,"12,412.4","8,292.8","5,632.1","303,947"
52A,South Kedzie,02/01/2001,"6,113.8","3,246.1","1,877.1","142,769"
53,Pulaski,02/01/2001,"22,111.6","14,411.7","9,369.9","537,359"
53A,South Pulaski,02/01/2001,"9,793.7","2,957.6","1,508.8","213,739"
54,Cicero,02/01/2001,"13,016.8","9,070.8","6,677.5","323,328"
54A,North Cicero/Skokie Blvd.,02/01/2001,"1,373.7",0,0,"27,474"
54B,South Cicero,02/01/2001,"4,818.1","4,191.1","2,589.8","123,486"
55,Garfield,02/01/2001,"13,244.6","8,902.1","7,052.3","328,710"
55N,55th/Narragansett,02/01/2001,"1,162",162.8,0,"23,891"
56,Milwaukee,02/01/2001,"14,732.9","8,891","6,289.6","355,380"
56A,North Milwaukee,02/01/2001,540.7,0,0,"10,814"
57,Laramie,02/01/2001,"3,077","1,423.8",650.2,"69,836"
59,59th/61st,02/01/2001,"4,593","2,230.1",0,"100,781"
60,Blue Island/26th,02/01/2001,"14,023.4","9,395.7","6,819.6","345,328"
62,Archer,02/01/2001,"15,473","6,770.3","4,642.1","355,110"
62H,Archer/Harlem,02/01/2001,"1,447.2",552.9,0,"31,155"
63,63rd,02/01/2001,"22,932.3","18,001.7","12,559.4","580,890"
63W,West 63rd,02/01/2001,"2,234.9",644.8,424.3,"48,975"
64,Foster-Canfield,02/01/2001,299.3,0,0,"5,986"
65,Grand,02/01/2001,"6,868.3","2,964.6","1,706.3","156,050"
66,Chicago,02/01/2001,"21,441","12,708.4","8,070.9","511,938"
67,67th-69th-71st,02/01/2001,"14,717","9,908.3","7,177.1","362,682"
68,Northwest Highway,02/01/2001,"1,758.8",649.5,257.5,"38,803"
69,Cumberland/East River,02/01/2001,466.2,0,0,"8,858"
70,Division,02/01/2001,"10,967.6","7,142.3","5,658.5","270,554"
